AT72AUR,Aurigny Air Services (AUR)
AT72AZI,Astra Airlines (AZI)
AT72BCY,Cityjet (BCY)
AT72BPA,Blue Panorama (BPA)
AT72CAVCRG,Calm Air (cargo) (CAV)
AT72CNF,Canary Fly (CNF)
AT72DTR,Danish Air Transport (OY-RUG) (DTR)
AT72DTR2,Danish Air Transport (OY-LHA) (DTR)
AT72EWG,Eurowings (EWG)
AT72FAT,Farnair Switzerland (opf DHL) (FAT)
AT72FFV,Fly540 (Angola) (FFV)
AT72FWS,FlyAntilles Airways VA (FWS)
AT72HOP,HOP! (HOP)
AT72IBB,Binter Canarias (IBB)
AT72NOK,Nok Air (HS-TRA) (NOK)
AT72NOK2,Nok Air (HS-TRB) (NOK)
AT72OLY,Olympic Aviation (OLY)
AT72PAM,MAP Linhas Aereas (PAM)
AT72RXP,RAM Express (RXP)
AT72SAS,Scandinavian Airlines (opb Cimber) (SAS)
AT72SRN,SprintAir (SRN)
AT72STK,Stobart Air (STK)
AT72STK2,Stobart Air (Aer Lingus) (STK)
AT72SWN,West Air Sweden (SWN)
AT72SWT,Swiftair (Air Europa) (SWT)
AT72TUX,Tunisair Express (TUX)
AT72UTA,UTair Aviation (UTA)
AT73,ATR 72-210 (F-WWLG)
AT73AEA,Air Europa (AEA)
AT73AMY,Air Mandalay (AMY)
AT73CRN,Aerocaribbean (CRN)
AT73FAB,First Air (FAB)
AT73JAB,Air Bagan (JAB)
AT73MKU,Island Air (flower tail) (MKU)
AT73MKU2,Island Air (fish tail) (MKU)
AT73MKU3,Island Air (pineapple tail) (MKU)
AT75,ATR 72-500 (F-WWEY)
AT75ABZ,Atlantico Transportes Aereos VA (ABZ)
AT75AEX,Air Excellence VA (Menorca) (AEX)
AT75AIZ,Arkia Israeli Airlines (AIZ)
AT75ASL,Air Serbia (ASL)
AT75AUR,Aurigny Air Services (AUR)
AT75AVN,Air Vanuatu (AVN)
AT75AWM,Asian Wings Airways (AWM)
AT75AXN,GRAlexandAIR.net VA (AXN)
AT75AXNCRG,GRAlexandAIR.net VA (cargo) (AXN)
AT75AZU,Azul Linhas Aereas (PP-PTQ) (AZU)
AT75BEE,Stobart Air (FlyBE) (BEE)
AT75BFP,BalkanFly VA (BFP)
AT75BHA,Buddah Air (BHA)
AT75BKP,Bangkok Air (Hua Hin) (BKP)
AT75BKP2,Bangkok Air (Chang) (BKP)
AT75BKP3,Bangkok Air (Apsara) (BKP)
AT75BKP4,Bangkok Air (Tao) (BKP)
AT75BOT,Air Botswana (BOT)
AT75BQB,BQB Lineas Aereas (BQB)
AT75BRJ,BoraJet (BRJ)
AT75BRX,Braathens Regional (BRX)
AT75CCM,Air Corsica (CCM)
AT75CCM2,Air Corsica (white) (F-GRPK) (CCM)
AT75CCM3,Air France (by CCM) (CCM)
AT75CCM4,Air Corsica CCM (F-GRPI) (CCM)
AT75CCM5,Air France CCM (white) (F-GRPZ) (CCM)
AT75CSA,Czech Airlines (CSA)
AT75CZW,Czech Wings (CWZ)
AT75DAH,Air Algerie (DAH)
AT75DLA,Air Dolomiti (DLA)
AT75DWT,Darwin Airline (Etihad Regional) (DWT)
AT75EIN,Aer Lingus (EIN)
AT75EWR,EWA Air (EWR)
AT75FCM,Flybe Nordic (FCM)
AT75FFM,FlyFirefly (FFM)
AT75FFV,Fly540 (Angola) (FFV)
AT75FWI,Air Caraibes (FWI)
AT75HOP,HOP! (HOP)
AT75HVN,Vietnam Airlines (HVN)
AT75IBB,Binter Canarias (IBB)
AT75ISR,Israir (ISR)
AT75JAB,Air Bagan (JAB)
AT75JAI,Jet Airways (JAI)
AT75LAO,Lao Airlines (LAO)
AT75MAU,Air Mauritius (MAU)
AT75MDG,Air Madagascar (MDG)
AT75MMD,Alsie Express (MMD)
AT75MSA,Mistral Air (MSA)
AT75MWG,MASwings (MWG)
AT75NOK,Nok Air (HS-DRC) (NOK)
AT75NOK2,Nok Air (HS-DRD) (NOK)
AT75NZM,Mount Cook Airline (Air New Zealand Link) (NZM)
AT75OZW,Virgin Australia Regional (OZW)
AT75PAS,Pelita Air Service (PAS)
AT75PIA,Pakistan Int. Airlines (PIA)
AT75PPL,Air Pegasus (PPL)
AT75PRF,Precision Air (PRF)
AT75PVI,PVI Airlines VA (PVI)
AT75QAK,Patito VA (QAK)
AT75REA,Aer Arann (Flybe) (REA)
AT75REU,Air Austral (REU)
AT75REU2,Air Austral (photo tail) (F-OMRU) (REU)
AT75ROT,Tarom (ROT)
AT75SYR,Syrian Arab Airlines (SYR)
AT75TCV,TACV Cabo Verde Airlines (TCV)
AT75TNA,TransAsia (TNA)
AT75TPC,Air Caledonie (TPC)
AT75TUX,Tunisair Express (TUX)
AT75TWS,True Wings VA (TWS)
AT75UTA,UTair Aviation (UTA)
AT75UTN,UTair-Ukraine Airlines (UTN)
AT75VAV,Cambodia Angkor Air (VAV)
AT75VTA,Air Tahiti (VTA)
AT75WON,Wings Air (WON)
AT76,ATR 72-600 (F-WWEY)
AT76ANE,Air Nostrum (ANE)
AT76AVA,Avianca (AVA)
AT76AZU,Azul Linhas Aereas (Azul Tango Romeo) (AZU)
AT76AZU2,Azul Linhas Aereas (La Ville Rose) (AZU)
AT76BWA,Caribbean Airlines (BWA)
AT76FJA,Fiji Airways (FJA)
AT76GIA,Garuda Indonesia Airways (Explore) (GIA)
AT76ISK,Intersky (ISK)
AT76KLS,Kalstar Aviation (KLS)
AT76LIA,Leeward Islands Air Transport (LIA)
AT76MDG,Air Madagascar (MDG)
AT76MXD,Malindo Air (MXD)
AT76NZM,Mount Cook Airline (Air New Zealand Link) (NZM)
AT76PTB,Passaredo Transportes Aereos (PTB)
AT76RAM,Royal Air Maroc (RAM)
AT76SAS,Scandinavian Airlines (opb Jettime) (SAS)
AT76STK,Stobart Air (Aer Lingus) (STK)
AT76TAO,Transportes Aeromar (XA-NLP) (TAO)
AT76TAO2,Transportes Aeromar (XA-MKH) (TAO)
AT76TNA,TransAsia (TNA)
AT76UIA,Uni Airways (UIA)
AT76VQI,Villa Air (Flyme) (VQI)
AT76WON,Wings Air (WON)
B06,Bell 206
B1  @UL,USAF Strategic Air Command (28th - Dyess AFB)
B1  @UL2,USAF Strategic Air Command (9th - Dyess AFB)
B1  @UL3,USAF Strategic Air Command (34th - Ellsworth AFB)
B1  @UL4,USAF Strategic Air Command (37th - Ellsworth AFB)
B17,Sally B
B190ABN,Albatros Virtual VA (ABN)
B190AIP,Alpine Air Express (AIP)
B190ANZ,Air New Zealand (ANZ)
B190ARP,Aeroplano Virtual VA (ARP)
B190AYCCRG,Aviaco (cargo) (AYC)
B190CKY,Cloudsky Airways VA (CKY)
B190CLG,Chalair Aviation (F-HBCB) (CLG)
B190CLG2,Chalair Aviation (F-HBCA) (CLG)
B190CLG3,Chalair Aviation (F-GOOB) (CLG)
B190CPT,Corporate Air (N319BH) (CPT)
B190CPT2,Corporate Air (N101UE) (CPT)
B190DTH,Tassili Ailines (DTH)
B190EGY,Egyptian Airforce (EGY)
B190EVS,Exploits Valley Air Services (EVS)
B190FII,Flight Calibration Service (FII)
B190GGN,Air Georgian (Air Canada Express) (GGN)
B190GLA,Great Lakes Aviation (N255GL) (GLA)
B190GLA2,Great Lakes Aviation (N220GL) (GLA)
B190GLA3,Great Lakes Aviation (N202UX) (GLA)
B190GLA4,Great Lakes Aviation (N201GL) (GLA)
B190GRE,Great Airways VA (GRE)
B190HEL,PAS Helicol (HEL)
B190IBB,Binter Canarias (IBB)
B190KEW,Keewatin Air (KEW)
B190KFY,Kafly VA (KFY)
B190PGA,Portugalia (PGA)
B190PWV,Pannonwings VA (PWV)
B190ROI,Avior VA (ROI)
B190SBM,Sky Bahamas (SBM)
B190SDO,Aerolineas Santo Domingo (SDO)
B190SIL,Silver Airways (United Express) (SIL)
B190SLQ,Skylink Express (UPS) (SLQ)
B190SRC,SEARCA (SRC)
B190UKV,Fly UK VA (Highland connect) (UKV)
B190ULA,Zuliana de Aviación (ULA)
B190UNO,United Nations (UNO)
B190VIP,Virtual Pilots Association VA (VIP)
B190WEW,West Wind Aviation (WEW)
B190ZZZ,M & N Aviation (ZZZ)
B190ZZZ2,EVAS (Air Canada Express)
B190ZZZ3,Kivalliq Air
B190ZZZ4,M&N Aviation
B2  @UL,Global Strike Command (13th - Whiteman AFB)
B2  @UL2,Global Strike Command (393th - Whiteman AFB)
B212ASF,Austrian Air Force (ASF)
B212BGS,Rescue Version (Deutsche Flugrettung)
B212HAA,Hellenic Army VA (HAA)
B212NAFSAR,Royal Netherlands Air Force (SAR) (NAF)
B212NRN,Royal Netherlands Navy (NRN)
B25,Sarinah
B25 ZZZ,Grumpy
B25 ZZZ2,Old Glory
B350,Beech King Air 350
B377BAW,BOAC (speedbird) (BAW)
B377PAA,Pan Am (PAA)
B461AWI,Air Wisconsin (AWI)
B461BAE,BAe Systems (blue strips) (BAE)
B461BOT,Air Botswana (BOT)
B461BRT,British Airways CitiExpress (British) (BRT)
B461BTI,Air Baltic (BTI)
B461JTE,Cobham Aviation (JTE)
B461MNX,Manx Airlines (MNX)
B461QFA,Qantas Link (QFA)
B461RFR,Royal Air Force (RFR)
B461RIT,Asian Spirit (RIT)
B461RRR,RAF-HQSTC (Royal Squadron) (RRR)
B461SRU,Star Peru (photo tail) (OB-1877-P) (SRU)
B461SRU2,Star Peru (regular tail) (OB-1879-P) (SRU)
B462AIJ,Air Jet (AIJ)
B462AWC,Titan Airways (AWC)
B462AWCCRG,Titan Airways (cargo) (AWC)
B462AXY,Axis Airways (AXY)
B462BRT,British Airways CitiExpress (British) (BRT)
B462CLH,Lufthansa CityLine (CLH)
B462CNA,Centavia (CNA)
B462CTN,Croatia Airlines (CTN)
B462DAT,Brussel SN Airlines (DAT)
B462EIN,Aer Lingus Limited (EIN)
B462FLI,Atlantic Airways (FLI)
B462FRR,Fresh Air (FRR)
B462ISS,Meridiana (ISS)
B462JZA,Air Canada Jazz (JZA)
B462LBC,Albanian Airlines (LBC)
B462LNK,South African Airlink (LNK)
B462LZB,Bulgaria Air (LZB)
B462MAV,Matsakoni Airlines VA (MAV)
B462RRR,RAF-HQSTC (C Mk.3) (RRR)
B462SCW,Malmö Aviation (SCW)
B462SKX,Skyways (SKX)
B462SWR,Swiss International Airlines (SWR)
B462TAF,Tropic Air VA (TAF)
B462TAY,TNT Airways (TAY)
B462UKA,Buzzaway (UKA)
B462UZB,Uzbekistan Airways (UZB)
B462VIT,Aviastar Mandiri (VIT)
B462WDL,WDL Aviation (WDL)
B462WFX,Westfalia Express VA (WFX)
B463AUZ,Astralian Virtual Airlines VA (AUZ)
B463AZI,Astra Airlines (AZI)
B463AZI2,Astra Airlines (blue) (AZI)
B463ETP,Empire Test Pilots School (ETP)
B463EWG,Eurowings (EWG)
B463IRM,Mahan Air (IRM)
B463LZB,Bulgaria Air (LZB)
B463NEO,NeoFly VA (NEO)
B463PBL,Parablinda VA (PBL)
B463TAY,TNT Airways (TAY)
B463WDL,WDL Aviation (WDL)
B52,US Air Force (2BW 96BS)
B52 @UL,US Air Force (2BW 20BS)
B52 @UL2,US Air Force (5BW 69BS)
B52 @UL3,US Air Force (5BW 23BS)
B52 @UL4,US Air Force (307BW 93BS)
B701,Boeing Commercial Airplane Group
B701GAF,German Air Force (GAF)
B703@FC,Fuerza Aera Colombiana
B703AFR,Air France (AFR)
B703AIC,Air India (AIC)
B703BAW,BOAC (British Airways - Speedbird) (BAW)
B703BDS,South Asian Airlines (BDS)
B703BOE,Boeing house livery
B703BRS,Brazilian Air Force (BRS)
B703CFG,Condor (CFG)
B703DAZ,DAS Air Cargo (DAZ)
B703DLH,Deutche Lufthansa (DLH)
B703DOA,Compañia Dominicana de Aviacion (DOA)
B703IAF,Israeli Air Force (IAF)
B703JAT,Jugoslovenski Aerotransport (JAT)
B703OAL,Olympic Airways (OAL)
B703PAA,Pan Am (PAA)
B703RKA,Air Afrique (RKA)
B703SAA,South African Airlines (SAA)
B703SAB,Sabena (SAB)
B703SUD,Sudan Airways (SUD)
B703TBA,TransBrasil VA (TBA)
B703TWA,Trans World Airlines (TWA)
B703VRG,Varig (VRG)
B712BLF,Blue1 (OH-BLM) (BLF)
B712BLF2,Blue1 (OH-BLJ) (BLF)
B712BLF3,Blue1 (OH-BLG) (BLF)
B712BLF4,Blue1 (OH-BLI) (BLF)
B712BLF5,Blue1 (Star Allicance) (OH-BLP) (BLF)
B712DAL,Delta Air Lines (DAL)
B712HAL,Hawaiian Airlines (HAL)
B712OLY,Olympic Aviation (OLY)
B712TRS,AirTran Airways (TRS)
B712VOE,Volotea Airlines (VOE)
B720AAL,American Airlines (AAL)
B720AMC,Air Malta (AMC)
B720BOE,Boeing Commercial Group (BOE)
B720UAL,United Airlines (UAL)
B721@FC,Fuerza Aerea Colombiana (@FC)
B721@RG,The Republic of The Gambia
B721AES,ACES Colombia (AES)
B721ARP,Aeroplano Virtual VA (ARP)
B721BAF,Belgian Air Force (1975) (BAF)
B721BAF2,Belgian Air Force (1995) (BAF)
B721BOE,Boeing Commercial Group (BOE)
B721CRZ,Cruzeiro (CRZ)
B721DHL,DHL Cargo (DHL)
B721EAL,Eastern Airlines (EAL)
B721FDX,Federal Express (FDX)
B721ILN,Interair (South Africa) (ILN)
B721KMS,Cosmos (KMS)
B721KRE,AEROSUCRE VC VA (KRE)
B721LAU,Lineas Aereas Suramericanas (LAU)
B721PAA,Pan American Airways (PAA)
B721SAB,Sabena (SAB)
B721TAP,TAP Air Portugal (TAP)
B721TBA,TransBrasil Virtual VA (TBA)
B721TSU,Contract Air Cargo (TSU)
B721TWA,Trans World Airlines (TWA)
B721UAL,United Airlines (UAL)
B721UPS,United Parcel Service (UPS)
B721XME,Australian Air Express (XME)
B722ABZCRG,Air Transport Atlantic VA (cargo) (ABZ)
B722ACQ,Aero Continente Perù (ACQ)
B722AES,ACES Colombia (AES)
B722AFR,Air France (AFR)
B722AHSCRG,Air Hispania VA (cargo) (AHS)
B722AJT,Amerijet International (AJT)
B722AMC,Air Malta (AMC)
B722AMXCRG,Aeromexico (Cargo) (AMX)
B722AMZCRG,Amazon Group VA (cargo) (AMZ)
B722AVA,Avianca (Colombia) (AVA)
B722AVE,Avensa (AVE)
B722BBR,Santa Barbara Airlines (BBR)
B722BNF,Braniff International (BNF)
B722BOE,Boeing Commercial Group (BOE)
B722CCI,Capital Cargo International Airlines (CCI)
B722CEL,Caeli VA (cargo) (CEL)
B722CFG,Condor (CFG)
B722CNS,Conesul VA (CNS)
B722DAH,Air Algerie (DAH)
B722DHL,Astar Air Cargo (DHL)
B722DHLOLD,DHL Cargo (old colors) (DHL)
B722DLH,Deutsche Lufthansa (DLH)
B722DOA,Compania Dominicana de Aviacion (DOA)
B722EAL,Eastern Airlines (EAL)
B722FABCRG,First Air (cargo) (FAB)
B722FAM,Mexican Air Force (FAM)
B722FDX,Federal Express (FDX)
B722FLB,Fly Brazil (FLB)
B722GLG,Aerolineas Galapagos (Aerogal) (GLG)
B722GSE,CV Cargo (GSE)
B722IBE,Iberia (IBE)
B722IHY,Istanbul Airlines VA (IHY)
B722IRA,Iran Air (IRA)
B722IRC,Iran Aseman Airline (IRC)
B722JAT,Jugoslovenski Aerotransport (JAT)
B722KFS,Kalitta Flying Sservice (KFS)
B722KFS2,Kalitta Charters II (Tex Sutton) (KFS)
B722KRE,AEROSUCRE VC VA (KRE)
B722LAU,Lineas Aereas Suramericanas (LAU)
B722LLB,Lloyd Aereo Boliviano (LLB)
B722MCS,Macedonian Airlines (MCS)
B722MXA,Mexicana (MXA)
B722NTW,Nationwide Airlines (NTW)
B722NWA,Nortwest Airlines (NWA)
B722OAL,Olympic Airways (OAL)
B722PAA,Pan American Airways (PAA)
B722RAM,Royal Air Maroc (RAM)
B722RIO,RIO Linhas Aéreas (RIO)
B722RSU,Aerosur (RSU)
B722SAU,SAPCO VA (SAU)
B722SDO,Aerolineas Santo Domingo (SDO)
B722SSA,Services Air Cargo (SSA)
B722SSA2,Services Air Cargo (old fed-ex) (SSA)
B722SVK,Air Slovakia (SVK)
B722SYR,Syrian Arab Airlines (SYR)
B722SYR2,Syrian Arab Airlines (Old) (SYR)
B722TAE,TAME Ecuador (TAE)
B722TAF,Tropic Air VA (TAF)
B722TEJ,Taesa Airlines (TEJ)
B722THY,Turkish Airlines (THY)
B722TTL,Total Linhas Aereas Cargo (TTL)
B722TWA,Trans World Airlines (TWA)
B722UAL,United Airlines (UAL)
B722ULA,Zuliana de Aviación (ULA)
B722UNO,United Nations (UNO)
B722VBR,Via Brasil (VBR)
B722VIA,Viasa (VIA)
B722VLO,VarigLog Virtual VA (VLO)
B722VSP,VASP Viacao Aereas (VSP)
B722WOA,World Airways (WOA)
B722XME,Australian Air Express (XME)
B722ZZZ,Monfort Aviation (Blue Striped) (ZZZ)
B722ZZZ2,Roush Fenway Racing
B722@RNWL,Nigerian Government (winglets)
B722AFSWL,Senegal Air Force VA (winglets) (AFS)
B722AJTWL,Amerijet International (winglets) (AJT)
B722BOEWL,Boeing Commercial Group (winglets) (BOE)
B722CJTWL,Coljet VA (Cargo) (winglets) (CJT)
B722KFAWL,Kelowna Flightcraft Air Charter (winglets) (KFA)
B722TSUWL,Contract Air Cargo (winglets) (TSU)
B722ZZZWL,Starling Aviation (M-STAR) (winglets)
B732@ID,Indonesian Air Force
B732@IR,Iranian Government
B732@NG,République du Niger
B732A,Boeing (Default aircraft) (BOE)
B732AAH,Aloha Air Cargo (AAH)
B732ADA,Aero Desierto Airlines (ADA)
B732ADH,Air One (ADH)
B732ADK,ADC Airlines (ADK)
B732AGX,Aviogenex (AGX)
B732AMC,Air Malta (AMC)
B732AML,Air Malawi (AML)
B732AMV,AMC Airlines (AMV)
B732ANA,All Nippon Airways (ANA)
B732ANT,Air North (ANT)
B732ARG,Aerolineas Argentinas (ARG)
B732ASA,Alaska Airlines (80' livery) (ASA)
B732ASD,Air Sinai (ASD)
B732BHS,BahamasAir (BHS)
B732BNF,Braniff International (BNF)
B732BOE,Boeing Commercial Group (BOE)
B732BOE2,Boeing (Default aircraft) (BOE)
B732BRS,Brazilian Air Force (BRS)
B732BTV,Metro Batavia (BTV)
B732BXS,SPANTAX LAV (BXS)
B732CAW,Comair (CAW)
B732CAY,Cayman Airways (CAY)
B732CHP,Aviacsa (CHP)
B732CJA,CanJet Airlines (CJA)
B732CNB,CityLine Hungary (CNB)
B732CRD,Air Corridor (CRD)
B732CRZ,Cruzeiro (CRZ)
B732CTN,Croatia Airlines (CTN)
B732DAH,Air Algérie (DAH)
B732DAL,Delta Airlines (DAL)
B732DAS,Delmun Aviation Services (DAS)
B732DLH,Deutsche Lufthansa (1980's) (DLH)
B732DLH2,Deutsche Lufthansa (90's livery) (DLH)
B732EAF,Palmair VA (EAF)
B732EAF2,European Aviation Air Charter (EAF)
B732ETR,ESTELAR LATiNOAMERICA (ETR)
B732EZY,Easyjet (EZY)
B732FAB,First Air (FAB)
B732FAB2,First Air (Igloo tail) (FAB)
B732FAB3,First Air (Inuit drummer) (FAB)
B732FAB4,First Air (Monument) (FAB)
B732FAB5,First Air (Air owl) (FAB)
B732FAB6,First Air (Aurora) (FAB)
B732FSK,Africa Charter Airlines (FSK)
B732GAP,Air Philippines (GAP)
B732GFA,Gulf Air (GFA)
B732GLG,Aerolineas Galapagos (Aerogal) (GLG)
B732ICD,ICARO (ICD)
B732ILN,Interair (South Africa) (ILN)
B732JTY,Jatayu Airlines (JTY)
B732KRE,AEROSUCRE (KRE)
B732LAN,LAN Chile (LAN)
B732LIL,Lithuanian Airlines (LIL)
B732LNI,Lion Air (LNI)
B732MAH,Malev Hungarian Airlines (MAH)
B732MAS,Malaysia Airlines (MAS)
B732MDL,Mandala Airlines (MDL)
B732MDW,Midway Airlines (MDW)
B732MHK,Al-Nasser Airlines (MHK)
B732MNA,Merpati Nusantara Airlines (MNA)
B732MPE,Canadian North (MPE)
B732MSR,Egypt Air (MSR)
B732NAC,Northern Air Cargo (NAC)
B732NAS,Nasair (NAS)
B732NRL,Nolinor Aviation (NRL)
B732NTW,Nationwide Airlines (NTW)
B732OAL,Olympic Airways (OAL)
B732PAA,Pan American Airways (PAA)
B732PMT,Progress Multitrade Co. - PMT Air (PMT)
B732PUA,Pluna (PUA)
B732REP,Aero Regional Paraguaya (REP)
B732RLE,Rico Linhas Aereas (RLE)
B732ROI,Avior Airlines (ROI)
B732RPH,Republic Express Airlines (RPH)
B732RSU,Aerosur (RSU)
B732RSU2,Aerosur (bufeo) (RSU)
B732RUC,Rutaca Airlines (RUC)
B732SAACRG,South African Airways Cargo (SAA)
B732SAB,Sabena (SAB)
B732SAI,Shaheen Air International (SAI)
B732SHU,Sakhalinskie Aviatrassy - SAT (SHU)
B732SJY,Sriwijaya Air (SJY)
B732SNG,Air Sénégal International (SNG)
B732SPA,Sierra Pacific Airlines (SPA)
B732SUD,Sudan Airways (SUD)
B732SVA,Saudi Arabian Airlines (SVA)
B732SVK,Air Slovakia (SVK)
B732SVK2,Air Slovakia (2008) (SVK)
B732SWA,Southwest (SWA)
B732TAP,TAP Air Portugal (TAP)
B732TEJ,Taesa Airlines (TEJ)
B732TGN,Trigana Air Service (TGN)
B732THM,Tahmid Air (THM)
B732TSG,Trans Air Congo (TSG)
B732UAL,United Airlines (UAL)
B732VCV,Conviasa (VCV)
B732VEP,Vesper Linhas Aereas VA (VEP)
B732VNE,Venezolana (VNE)
B732VRG,Varig Brazil (VRG)
B732VSP,VASP Viacao Aereas (VSP)
B732VSPCRG,Vasp Express (cargo) (VSP)
B732VSV,SCAT Airlines (VSV)
B732VUN,Air Ivoire (VUN)
B732WJA,Westjet (WJA)
B732XAR,Travel Express Aviation Services (XAR)
B732ZZZ,Basic Capital Management Inc.
B732ZZZ2,Sarab Ltd.
B732ZZZ3,Sheikh Mustafa Edress NAO
B732ZZZ4,Sky King Inc. (N147AW)
B732ZZZ5,Sky King Inc. (N977UA)
B732ZZZ6,Department of the Air Force (N5175U)
B733A,Boeing (Default aircraft) (BOE)
B733AAA,Ansett Australia (AAA)
B733AAH,Aloha Air Cargo (AAH)
B733ABJ,BRA Transportes Aéreos (AJB)
B733ABN,albatros VA (ABN)
B733ABZCRG,Air Transport Atlantic VA (cargo) (ABZ)
B733ACQ,Aero Continente Perù (ACQ)
B733ADH,Air One (ADH)
B733AEE,Aegean Airlines (AEE)
B733AFR,Air France (AFR)
B733AKE,AKE Airlines VA (AKE)
B733AMC,Air Malta (AMC)
B733ANZ,Air New Zealand (ANZ)
B733ANZFOM,Air New Zealand (Freedomair Hybrid) (ANZ)
B733ASL,Aviolet / Air Serbia (ASL)
B733AVE,Avensa (AVE)
B733AWC,Titan Airways (AWC)
B733AWE,America West (AWE)
B733AXM,Air Asia (AXM)
B733BAG,Deutsche BA (BAG)
B733BAW,British Airways (BAW)
B733BBD,Blue Bird Cargo (BBD)
B733BBD2,Blue Bird Cargo (all white) (BBD)
B733BEL,Brussels Airlines (BEL)
B733BMI,British Midland Baby (BMI)
B733BOE,Boeing Commercial Group (BOE)
B733BOE2,Boeing (Default aircraft) (BOE)
B733BOV,Boliviana de Aviacion (BOV)
B733BPA,Blue Panorama (BPA)
B733BRA,BRA Transportes Aereos (BRA)
B733BRU,Belavia (BRU)
B733CAI,Corendon Airlines (CAI)
B733CAY,Cayman Airways (CAY)
B733CAY2,Cayman Airways (CAY)
B733CCA,Air China (CCA)
B733CCG,Central Connect Airlines (CCG)
B733CFG,Condor (CFG)
B733CGL,Seagle Air (CGL)
B733CHP,Aviacsa (CHP)
B733COA,Continental Airlines (COA)
B733CRL,Corsair (CRL)
B733CSN,China Southern Airliners (CSN)
B733CTV,Citilink Indonesia (CTV)
B733CTV2,Citilink Indonesia (Garuda Indonesia) (CTV)
B733CXN,China Southwest Airlines (CXN)
B733DAL,Delta Airlines (DAL)
B733DAT,SN Brussels Airlines (estail) (DAT)
B733DLH,Deutsche Lufthansa (DLH)
B733DSY,Dream Sky Airlines VA (DSY)
B733ELB,Ellinair (ELB)
B733EPA,Donghai Air (EPA)
B733ESF,Estafeta Carga Aerea (ESF)
B733ESH,European Air Shuttle VA (ESH)
B733ESK,SkyEurope Airlines (ESK)
B733EXS,Jet2.com (EXS)
B733EZY,Easyjet (EZY)
B733FAM,Mexican Air Force (FAM)
B733FFR,Fischer Air (FFR)
B733FPO,Europe Airpost (FPO)
B733FYA,Flyant Cargo (FYA)
B733GMI,Germania (GMI)
B733HCY,Helios Airlines (HCY)
B733HIS,Hispania Airways VA (HIS)
B733HLN,Air Holland Leasing (HLN)
B733HLX,TUIfly (HLX)
B733JAT,JAT Airways (JAT)
B733JAV,Jordan Aviation (JAV)
B733JOR,Blue Air (JOR)
B733JOR2,Blue Air (new colors) (JOR)
B733KAJ,Karthago Airlines (KAJ)
B733KLM,KLM Royal Dutch Airlines (KLM)
B733KLS,Kal Star Aviation (KLS)
B733KNI,KD Avia (KNI)
B733KQA,Kenya Airways (KQA)
B733KQA2,Kenya Airways (Jambojet Giraffe) (KQA)
B733KQA3,Kenya Airways (Jambojet Zebra) (KQA)
B733LCD,Líneas Aéreas Azteca (LCD)
B733LIT,Air Littoral (LIT)
B733LLC,small planet Airlines (LLC)
B733LLC2,small planet Airlines (LLC)
B733LNI,Lion Air (LNI)
B733LOT,Polish Airlines (LOT)
B733LZB,Bulgaria Air (LZB)
B733MAH,Malev Hungarian Airlines (MAH)
B733MAK,Macedonian Airlines (MAK)
B733MDG,Air Madagascar (MDG)
B733MKP,Air Indus (MKP)
B733MMZ,euroAtlantic Airways (MMZ)
B733MPD,Air Plus Comet (MPD)
B733MSA,Mistral Air (MSA)
B733NAC,Northern Air Cargo (NAC)
B733NAX,Norwegian Air Shuttle (NAX)
B733OAL,Olympic Airlines (OAL)
B733ONX,Air Onix (ONX)
B733PUA,PLUNA (PUA)
B733QFA,Qantas (QFA)
B733RAMCRG,Royal Air Maroc (cargo) (RAM)
B733REU,Air Austral (REU)
B733ROT,Tarom (ROT)
B733SAACRG,South African Airlines (Cargo) (SAA)
B733SAB,Sabena (SAB)
B733SAT,SATA Air Acores (SAT)
B733SJY,Sriwijaya Air (SJY)
B733SJY2,Sriwijaya Air (old colours) (SJY)
B733SLL,Slovak Airlines (SLL)
B733SLM,Surinam Airways (SLM)
B733SLR,Sobelair (SLR)
B733SQM,Siam Air (pink) (SQM)
B733SVK,Air Slovakia (SVK)
B733SWA,Southwest Airlines (SWA)
B733SWA2,Southwest (blue with red belly) (SWA)
B733SWTCRG,Swiftair (cargo) (SWT)
B733SWZ,Skywise (SWZ)
B733SYA,Sky Aviation (SYA)
B733SYC,Syrian-Express-Cargo VA (SYC)
B733TAY,TNT Airways (TAY)
B733TAY2,TNT Airways (Passenger version) (TAY)
B733TBA,TransBrasil Virtual VA (TBA)
B733TEJ,Taesa Airlines (TEJ)
B733TNM,Tiara Air (TNM)
B733TOM,Thomsonfly (TOM)
B733UAL,UNited Airlines (UAL)
B733UDN,Dniproavia (UDN)
B733UKA,Buzzaway (UKA)
B733VCV,CONVIASA VIRTUAL VA (VCV)
B733VEX,Virgin Express (VEX)
B733VIV,Viva Aerobus (VIV)
B733VLI,Avolar (VLI)
B733VOZ,Virgin Blue Airlines (VOZ)
B733VPA,Danube Wings (VPA)
B733VRG,Varig Brazil (VRG)
B733VSP,VASP (VSP)
B733WEB,Webjet Linhas Aereas (WEB)
B733XAR,Travel Express Aviation Services (XAR)
B733XAS,Alair VA (XAS)
B733AUIWL,Ukraine International Airlines (winglets) (AUI)
B733B,Boeing (Default aircraft) (winglets) (BOE)
B733BELWL,Brussels Airlines (winglets) (BEL)
B733BOEWL,Boeing (Default aircraft) (winglets) (BOE)
B733BTIWL,Air Baltic (winglets) (BTI)
B733GLLWL,German-Lloyd VA (winglets) (GLL)
